radius,tractor force
0.1,1.7047
0.2,3.4094
0.3,5.114
0.4,6.8187
0.5,8.5234
0.6,10.2281
0.7,11.9328
0.8,13.6375
0.9,15.3421
1,17.0468
1.1,18.7515
1.2,20.4562
1.3,22.1609
1.4,23.8655
1.5,25.5702
1.6,27.2749
1.7,28.9796
1.8,30.6843
1.9,32.3889
2,34.0936
2.1,35.7983
2.2,37.503
2.3,39.2077
2.4,40.9124
2.5,42.617
2.6,44.3217
2.7,46.0264
2.8,47.7311
2.9,49.4358
3,51.1404
